username,total seen,total posted,total ratio,daily seen,daily posted,daily ratio,weekly seen,weekly posted,weekly ratio,monthly seen,monthly posted,monthly ratio,avg seen/day,avg posted/day,avg ratio,avg days
@136division,4,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0541,0.0000,0.0000,74
@13z_game,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@16bitapex,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1776general_,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1776zoomer,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@17qstorm,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1800factsmatter,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1_mincrafts,4,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0541,0.0000,0.0000,74
@1cinematiczone,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1jin_rr,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@1littlecoder,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@1remnantleader,2,0,0.0000,0,0,0.0000,0,0,0.0000,2,0,0.0000,0.0270,0.0000,0.0000,74
@1shotenergy,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@1stclassclips,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@1stforall,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@1swinging_voter,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@1zzyzyx1,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@205_academy,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@20thcentury,1,0,0.0000,0,0,0.0000,1,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@213clipset,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@21_oche,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@2262727hrddzy54,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@23sevenhq,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@24_hours_art,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@25mahfuz,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@2eteka,4,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0541,0.0000,0.0000,74
@2k,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@2kiiitis,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@2rawtooreal,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@2worldspodcast,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@312sportscards1,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@314_mfc,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@321300_,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@3369tjnx9457697,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@35kysportsmedia,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@375sund,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@3dpdoctor,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@3dxdev7,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@3sidecarsplz,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@3vatronic,2,0,0.0000,0,0,0.0000,0,0,0.0000,2,0,0.0000,0.0270,0.0000,0.0000,74
@42cyc,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@433,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@49ers,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@49erssportstalk,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@4my_6wish,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@4ocean,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@4unclelala,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@5149jamesli,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@520myung,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@55sweetthing,10,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1351,0.0000,0.0000,74
@5am1am_6,10,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1351,0.0000,0.0000,74
@5min__crafts,3,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0405,0.0000,0.0000,74
@5peatnel,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@60fpsdesign,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@670thescore,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@686prism,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@69golfshop,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@6lack_mmba,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@7_msdthala,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@7corpsdshv,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@7newsmelbourne,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@80level,10,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1351,0.0000,0.0000,74
@827js,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@8_24mamba4ever,13,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1757,0.0000,0.0000,74
@8bitclosedfist,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@8co28,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@90_andypycroft,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@90sfootball,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@90splayers,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@923thefan,9,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1216,0.0000,0.0000,74
@94shouse,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@957thegame,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@98491aline,4,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0541,0.0000,0.0000,74
@99leemark0802,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@___basement,4,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0541,0.0000,0.0000,74
@__trichia__,8,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.1081,0.0000,0.0000,74
@_adrian,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@_advanceuk,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@_afcbanks,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@_ai_nexus,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@_aklil0,1,0,0.0000,0,0,0.0000,0,0,0.0000,1,0,0.0000,0.0135,0.0000,0.0000,74
@_alfxi,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@_arsenalmuse,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@_arsenalteam,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@_avichawla,1,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0135,0.0000,0.0000,74
@_ayagames_,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
@_b___s,2,0,0.0000,0,0,0.0000,0,0,0.0000,0,0,0.0000,0.0270,0.0000,0.0000,74
